val_loss,val_accuracy,loss,accuracy,lr
0.7076379656791687,0.5,0.8066686391830444,0.4749999940395355,0.0010000000474974513
0.7344306707382202,0.5,0.59624183177948,0.7250000238418579,0.0010000000474974513
0.7618669867515564,0.5,0.44738277792930603,0.824999988079071,0.0010000000474974513
0.797947883605957,0.5,0.32305464148521423,0.875,0.0010000000474974513
0.869111180305481,0.5,0.26890072226524353,0.925000011920929,0.0010000000474974513
0.9680721163749695,0.5,0.19613143801689148,0.9750000238418579,0.0010000000474974513
1.0724924802780151,0.5,0.14992530643939972,0.9750000238418579,0.0010000000474974513
1.212763786315918,0.5,0.10436524450778961,0.9750000238418579,0.0010000000474974513
1.3722374439239502,0.5,0.07204698026180267,1.0,0.0010000000474974513
1.5118147134780884,0.5,0.051723551005125046,1.0,0.0010000000474974513
1.6300585269927979,0.5,0.033452507108449936,1.0,0.0010000000474974513
1.740329384803772,0.5,0.024389980360865593,1.0,0.0010000000474974513
1.8485931158065796,0.5,0.018701540306210518,1.0,0.0010000000474974513
1.9566676616668701,0.5,0.013770008459687233,1.0,0.0010000000474974513
2.05712628364563,0.5,0.011448381468653679,1.0,0.0010000000474974513
2.1396584510803223,0.5,0.009037774987518787,1.0,0.0010000000474974513
2.2009060382843018,0.5,0.007246285676956177,1.0,0.0010000000474974513
2.2364721298217773,0.5,0.006416128017008305,1.0,0.0010000000474974513
2.2448973655700684,0.5,0.005738860461860895,1.0,0.0010000000474974513
2.2250542640686035,0.5,0.004896064754575491,1.0,0.0010000000474974513
2.18113112449646,0.5,0.004202002193778753,1.0,0.0010000000474974513
2.120786190032959,0.5,0.0037966477684676647,1.0,0.0010000000474974513
2.051875352859497,0.5,0.003522593528032303,1.0,0.0010000000474974513
1.978857398033142,0.5,0.0032145739533007145,1.0,0.0010000000474974513
1.9016268253326416,0.5,0.0028801974840462208,1.0,0.0010000000474974513
1.8173344135284424,0.5,0.0026181298308074474,1.0,0.0010000000474974513
1.7276270389556885,0.5,0.0024540552403777838,1.0,0.0010000000474974513
1.6303091049194336,0.5,0.002332319039851427,1.0,0.0010000000474974513
1.5287896394729614,0.5,0.0021923736203461885,1.0,0.0010000000474974513
