loss,accuracy,lr
0.7587268948554993,0.41999998688697815,0.0010000000474974513
0.3732324767112732,0.8500000238418579,0.0010000000474974513
0.25294807910919187,0.8799999952316284,0.0010000000474974513
0.1881372618675232,0.9300000071525574,0.0010000000474974513
0.14897188276052475,0.9599999785423279,0.0010000000474974513
0.11000924110412598,0.949999988079071,0.0010000000474974513
0.06760588526725769,0.9700000286102295,0.0010000000474974513
0.049618556797504425,0.9900000095367432,0.0010000000474974513
0.03256959557533264,1.0,0.0010000000474974513
0.028756609261035918,1.0,0.0010000000474974513
0.016102084554731846,1.0,0.0010000000474974513
0.017340128272771836,1.0,0.0010000000474974513
0.01298208326101303,1.0,0.0010000000474974513
0.013526481464505196,1.0,0.0010000000474974513
0.007354296334087848,1.0,0.0010000000474974513
0.008808059468865394,1.0,0.0010000000474974513
0.005374402571469546,1.0,0.0010000000474974513
0.00595301253721118,1.0,0.0010000000474974513
0.007014601305127144,1.0,0.0010000000474974513
0.005865160226821899,1.0,0.0010000000474974513
0.0037082847859710457,1.0,0.0010000000474974513
0.003457550723105669,1.0,0.0010000000474974513
0.005484289564192295,1.0,0.0010000000474974513
0.0019342367164790631,1.0,0.0010000000474974513
0.00239329107105732,1.0,0.0010000000474974513
0.0019763891538605092,1.0,0.0010000000474974513
0.0016561965458095074,1.0,0.0010000000474974513
0.0016086871223524213,1.0,0.0010000000474974513
0.0019895723648369313,1.0,0.0010000000474974513
0.0012667921371757984,1.0,0.0010000000474974513
0.001351422439329326,1.0,0.0010000000474974513
0.001085751459468156,1.0,0.0010000000474974513
0.0011217825626954436,1.0,0.0010000000474974513
0.0009643108327873052,1.0,0.0010000000474974513
0.0008278452209196985,1.0,0.0010000000474974513
0.0010726654203608633,1.0,0.0010000000474974513
0.0008395436406135559,1.0,0.0010000000474974513
0.0006511466042138636,1.0,0.0010000000474974513
0.000843220273964107,1.0,0.0010000000474974513
0.0007863591704517603,1.0,0.0010000000474974513
0.0007469047652557492,1.0,0.0010000000474974513
0.0007224807981401682,1.0,0.0010000000474974513
0.000878375405445695,1.0,0.0010000000474974513
0.0005257045407779515,1.0,0.0010000000474974513
0.0005199831281788647,1.0,0.0010000000474974513
0.0008055935869924724,1.0,0.0010000000474974513
0.0005059725523460656,1.0,0.0010000000474974513
0.0006269394676201045,1.0,0.0010000000474974513
0.00046842929907143116,1.0,0.0010000000474974513
0.0006143453344702721,1.0,0.0010000000474974513
0.000469324653968215,1.0,0.0010000000474974513
0.00046224212739616634,1.0,0.0010000000474974513
0.0004465722059831023,1.0,0.0010000000474974513
0.0004580821376293898,1.0,0.0010000000474974513
0.00055239676265046,1.0,0.0010000000474974513
0.0004129272210411727,1.0,0.0010000000474974513
0.00039139042259193956,1.0,0.0010000000474974513
0.0006040139659307897,1.0,0.0010000000474974513
0.00039802251616492866,1.0,0.0010000000474974513
0.0003670231136493385,1.0,0.0010000000474974513
0.0059070797637104985,1.0,0.0010000000474974513
0.00043325889157131315,1.0,0.0010000000474974513
0.0007067349785938859,1.0,0.0010000000474974513
0.0006327678728848695,1.0,0.0010000000474974513
0.0007628119806759059,1.0,0.0010000000474974513
0.0013846070878207684,1.0,0.0010000000474974513
0.001286822920665145,1.0,0.0010000000474974513
0.0010038130870088935,1.0,0.0010000000474974513
0.0004931987402960658,1.0,0.0010000000474974513
0.0005961986200418324,1.0,0.0010000000474974513
0.0005555050494149327,1.0,0.0010000000474974513
0.0005281821964308619,1.0,0.0010000000474974513
0.0003797752398531884,1.0,0.0010000000474974513
0.0006746220262721181,1.0,0.0010000000474974513
0.0005637372145429253,1.0,0.0010000000474974513
0.0007150471024215221,1.0,0.0010000000474974513
0.00039242514874786137,1.0,0.0010000000474974513
0.0003627323580440134,1.0,0.0010000000474974513
0.001986991744488478,1.0,0.0010000000474974513
0.00040993175469338893,1.0,0.0010000000474974513
0.0003762397717218846,1.0,0.0010000000474974513
0.0006665463047102094,1.0,0.0010000000474974513
0.0004644562432076782,1.0,0.0010000000474974513
0.0005928945913910866,1.0,0.0010000000474974513
0.00034476694767363367,1.0,0.0010000000474974513
0.0004162693559192121,1.0,0.0010000000474974513
0.00038854091777466236,1.0,0.0010000000474974513
0.000291497734724544,1.0,0.0010000000474974513
0.00028034605551511047,1.0,0.0010000000474974513
0.0002462433540495113,1.0,0.0010000000474974513
0.00025358895887620745,1.0,0.0010000000474974513
0.0002741927601164207,1.0,0.0010000000474974513
0.0002498378453310579,1.0,0.0010000000474974513
0.00023976864293217659,1.0,0.0010000000474974513
0.0002444601431488991,1.0,0.0010000000474974513
0.00021500221395399422,1.0,0.0010000000474974513
0.0003037910279817879,1.0,0.0010000000474974513
0.00020089924335479738,1.0,0.0010000000474974513
0.00023569003562442958,1.0,0.0010000000474974513
0.00019465183082502337,1.0,0.0010000000474974513
0.0002304028277285397,1.0,0.0010000000474974513
0.00018951371894218027,1.0,0.0010000000474974513
0.0003673961933236569,1.0,0.0010000000474974513
0.0005547181470319628,1.0,0.0010000000474974513
0.00026731268852017817,1.0,0.0010000000474974513
0.00018102973815985025,1.0,0.0010000000474974513
0.00018180909857619553,1.0,0.0010000000474974513
0.00017312440846581012,1.0,0.0010000000474974513
0.00021800054237246512,1.0,0.0010000000474974513
0.00017508722958154977,1.0,0.0010000000474974513
0.00016769414534792304,1.0,0.0010000000474974513
0.00017594186239875854,1.0,0.0010000000474974513
0.00017255630111321808,1.0,0.0010000000474974513
0.00024124682880938053,1.0,0.0010000000474974513
0.00016869773098733277,1.0,0.0010000000474974513
0.00016262143501080572,1.0,0.0010000000474974513
0.0002545547322370112,1.0,0.0010000000474974513
0.00017758086323738098,1.0,0.0010000000474974513
0.00019065846456214785,1.0,0.0010000000474974513
0.0002263144077733159,1.0,0.0010000000474974513
0.0002174803661182523,1.0,0.0010000000474974513
0.00014850866864435375,1.0,0.0010000000474974513
