loss,acc,lr
0.8378808498382568,0.47999998927116394,0.0010000000474974513
0.536794900894165,0.7400000095367432,0.0010000000474974513
0.5655130743980408,0.6800000071525574,0.0010000000474974513
0.32190918922424316,0.8799999952316284,0.0010000000474974513
0.33307084441185,0.8399999737739563,0.0010000000474974513
0.2341073453426361,0.9599999785423279,0.0010000000474974513
0.2101287841796875,0.8999999761581421,0.0010000000474974513
0.17061899602413177,0.9200000166893005,0.0010000000474974513
0.12353777885437012,0.9800000190734863,0.0010000000474974513
0.1072341799736023,0.9800000190734863,0.0010000000474974513
0.06964197754859924,1.0,0.0010000000474974513
0.05669384449720383,1.0,0.0010000000474974513
0.04467394948005676,1.0,0.0010000000474974513
0.029680198058485985,1.0,0.0010000000474974513
0.0263579823076725,1.0,0.0010000000474974513
0.023393118754029274,1.0,0.0010000000474974513
0.01702789030969143,1.0,0.0010000000474974513
0.013478684239089489,1.0,0.0010000000474974513
0.012473603710532188,1.0,0.0010000000474974513
0.010741911828517914,1.0,0.0010000000474974513
0.008432254195213318,1.0,0.0010000000474974513
0.007159777916967869,1.0,0.0010000000474974513
0.006941157393157482,1.0,0.0010000000474974513
0.006853810511529446,1.0,0.0010000000474974513
0.006263942923396826,1.0,0.0010000000474974513
0.005330947227776051,1.0,0.0010000000474974513
0.004539139103144407,1.0,0.0010000000474974513
0.004106063395738602,1.0,0.0010000000474974513
0.003936140798032284,1.0,0.0010000000474974513
0.003811283502727747,1.0,0.0010000000474974513
0.003576010698452592,1.0,0.0010000000474974513
0.0032368963584303856,1.0,0.0010000000474974513
0.00290055968798697,1.0,0.0010000000474974513
0.0026544767897576094,1.0,0.0010000000474974513
0.0025139974895864725,1.0,0.0010000000474974513
0.0024401589762419462,1.0,0.0010000000474974513
0.002377263270318508,1.0,0.0010000000474974513
0.0022850721143186092,1.0,0.0010000000474974513
0.002157281618565321,1.0,0.0010000000474974513
0.0020137405954301357,1.0,0.0010000000474974513
0.0018819174729287624,1.0,0.0010000000474974513
0.0017799943452700973,1.0,0.0010000000474974513
0.001709936885163188,1.0,0.0010000000474974513
0.001661009737290442,1.0,0.0010000000474974513
0.0016188127920031548,1.0,0.0010000000474974513
0.0015716174384579062,1.0,0.0010000000474974513
0.0015155032742768526,1.0,0.0010000000474974513
0.0014535051304847002,1.0,0.0010000000474974513
0.0013924150262027979,1.0,0.0010000000474974513
0.0013382888864725828,1.0,0.0010000000474974513
0.001293702982366085,1.0,0.0010000000474974513
0.0012579687172546983,1.0,0.0010000000474974513
0.0012276092311367393,1.0,0.0010000000474974513
0.0011992722284048796,1.0,0.0010000000474974513
0.0011702035553753376,1.0,0.0010000000474974513
0.0011393892345950007,1.0,0.0010000000474974513
0.0011074325302615762,1.0,0.0010000000474974513
0.0010759554570540786,1.0,0.0010000000474974513
0.001046639634296298,1.0,0.0010000000474974513
0.0010204968275502324,1.0,0.0010000000474974513
0.000997654045931995,1.0,0.0010000000474974513
0.0009775852086022496,1.0,0.0010000000474974513
0.0009593128925189376,1.0,0.0010000000474974513
0.0009416536777280271,1.0,0.0010000000474974513
0.0009238215279765427,1.0,0.0010000000474974513
0.0009056422277353704,1.0,0.0010000000474974513
0.0008873294573277235,1.0,0.0010000000474974513
0.0008693835115991533,1.0,0.0010000000474974513
0.0008523032302036881,1.0,0.0010000000474974513
0.0008363950182683766,1.0,0.0010000000474974513
0.0008216712158173323,1.0,0.0010000000474974513
0.0008079779217951,1.0,0.0010000000474974513
0.0007950232247821987,1.0,0.0010000000474974513
0.0007824685308150947,1.0,0.0010000000474974513
0.0007701021386310458,1.0,0.0010000000474974513
0.0007578430813737214,1.0,0.0010000000474974513
0.0007457156316377223,1.0,0.0010000000474974513
0.0007338252617046237,1.0,0.0010000000474974513
0.0007223322754725814,1.0,0.0010000000474974513
0.000711336440872401,1.0,0.0010000000474974513
0.0007008471875451505,1.0,0.0010000000474974513
0.0006908468785695732,1.0,0.0010000000474974513
0.0006812257342971861,1.0,0.0010000000474974513
0.0006718630902469158,1.0,0.0010000000474974513
0.0006626895628869534,1.0,0.0010000000474974513
0.000653632334433496,1.0,0.0010000000474974513
0.0006446864572353661,1.0,0.0010000000474974513
0.0006359093822538853,1.0,0.0010000000474974513
0.0006273187464103103,1.0,0.0010000000474974513
0.0006189647829160094,1.0,0.0010000000474974513
0.0006108615780249238,1.0,0.0010000000474974513
0.0006030355580151081,1.0,0.0010000000474974513
0.0005954625667072833,1.0,0.0010000000474974513
0.0005881031975150108,1.0,0.0010000000474974513
0.0005809407448396087,1.0,0.0010000000474974513
0.0005739345797337592,1.0,0.0010000000474974513
0.0005670489044860005,1.0,0.0010000000474974513
0.0005602884921245277,1.0,0.0010000000474974513
0.0005536630051210523,1.0,0.0010000000474974513
0.0005471616750583053,1.0,0.0010000000474974513
0.0005407989374361932,1.0,0.0010000000474974513
0.0005345615791156888,1.0,0.0010000000474974513
0.0005284616490826011,1.0,0.0010000000474974513
0.0005224788328632712,1.0,0.0010000000474974513
0.0005166096962057054,1.0,0.0010000000474974513
0.0005108468467369676,1.0,0.0010000000474974513
0.0005051915650255978,1.0,0.0010000000474974513
0.0004996390780434012,1.0,0.0010000000474974513
0.00049416912952438,1.0,0.0010000000474974513
0.0004887947579845786,1.0,0.0010000000474974513
0.00048350635915994644,1.0,0.0010000000474974513
0.00047831234405748546,1.0,0.0010000000474974513
0.0004732197558041662,1.0,0.0010000000474974513
0.00046822751755826175,1.0,0.0010000000474974513
0.00046333312639035285,1.0,0.0010000000474974513
0.00045851990580558777,1.0,0.0010000000474974513
0.0004537877393886447,1.0,0.0010000000474974513
0.0004491236759349704,1.0,0.0010000000474974513
0.0004445443337317556,1.0,0.0010000000474974513
0.00044004374649375677,1.0,0.0010000000474974513
0.00043559682671912014,1.0,0.0010000000474974513
0.0004312298842705786,1.0,0.0010000000474974513
0.0004269310156814754,1.0,0.0010000000474974513
0.00042269896948710084,1.0,0.0010000000474974513
0.00041853851871564984,1.0,0.0010000000474974513
0.0004144271370023489,1.0,0.0010000000474974513
0.00041039209463633597,1.0,0.0010000000474974513
0.00040641077794134617,1.0,0.0010000000474974513
0.00040249628364108503,1.0,0.0010000000474974513
0.00039863440906628966,1.0,0.0010000000474974513
0.00039483935688622296,1.0,0.0010000000474974513
0.0003910992236342281,1.0,0.0010000000474974513
0.0003874175890814513,1.0,0.0010000000474974513
0.00038379093166440725,1.0,0.0010000000474974513
0.0003802202991209924,1.0,0.0010000000474974513
0.0003766997833736241,1.0,0.0010000000474974513
0.0003732354089152068,1.0,0.0010000000474974513
0.0003698199870996177,1.0,0.0010000000474974513
0.00036644033389166,1.0,0.0010000000474974513
0.00036312517477199435,1.0,0.0010000000474974513
0.00035984459100291133,1.0,0.0010000000474974513
0.0003566188970580697,1.0,0.0010000000474974513
0.00035343028139322996,1.0,0.0010000000474974513
0.000350284535670653,1.0,0.0010000000474974513
0.00034718425013124943,1.0,0.0010000000474974513
0.0003441315784584731,1.0,0.0010000000474974513
0.00034112195135094225,1.0,0.0010000000474974513
0.0003381540591362864,1.0,0.0010000000474974513
0.0003352303465362638,1.0,0.0010000000474974513
0.0003323412383906543,1.0,0.0010000000474974513
0.0003294831549283117,1.0,0.0010000000474974513
0.00032666567130945623,1.0,0.0010000000474974513
0.0003238815697841346,1.0,0.0010000000474974513
0.00032113571069203317,1.0,0.0010000000474974513
0.0003184315864928067,1.0,0.0010000000474974513
0.00031575371394865215,1.0,0.0010000000474974513
0.0003131080884486437,1.0,0.0010000000474974513
0.000310516101308167,1.0,0.0010000000474974513
0.00030793846235610545,1.0,0.0010000000474974513
0.0003054085827898234,1.0,0.0010000000474974513
0.0003029061190318316,1.0,0.0010000000474974513
0.00030044541927054524,1.0,0.0010000000474974513
0.00029801693744957447,1.0,0.0010000000474974513
0.0002956242533400655,1.0,0.0010000000474974513
0.0002932590141426772,1.0,0.0010000000474974513
0.0002909224422182888,1.0,0.0010000000474974513
0.00028861683676950634,1.0,0.0010000000474974513
0.0002863339032046497,1.0,0.0010000000474974513
0.0002840975357685238,1.0,0.0010000000474974513
0.0002818838111124933,1.0,0.0010000000474974513
0.00027969159418717027,1.0,0.0010000000474974513
0.00027752682217396796,1.0,0.0010000000474974513
0.00027539185248315334,1.0,0.0010000000474974513
0.00027328197029419243,1.0,0.0010000000474974513
0.00027119831065647304,1.0,0.0010000000474974513
0.0002691361587494612,1.0,0.0010000000474974513
0.0002671073889359832,1.0,0.0010000000474974513
0.0002650952956173569,1.0,0.0010000000474974513
0.0002631059323903173,1.0,0.0010000000474974513
0.00026114395586773753,1.0,0.0010000000474974513
0.00025920348707586527,1.0,0.0010000000474974513
0.0002572821103967726,1.0,0.0010000000474974513
0.00025538221234455705,1.0,0.0010000000474974513
0.0002535097301006317,1.0,0.0010000000474974513
0.00025164918042719364,1.0,0.0010000000474974513
0.0002498184912838042,1.0,0.0010000000474974513
0.0002480008697602898,1.0,0.0010000000474974513
0.00024619881878606975,1.0,0.0010000000474974513
0.00024441705318167806,1.0,0.0010000000474974513
0.00024265791580546647,1.0,0.0010000000474974513
0.00024091549857985228,1.0,0.0010000000474974513
0.00023920410603750497,1.0,0.0010000000474974513
0.00023750103719066828,1.0,0.0010000000474974513
0.00023582186258863658,1.0,0.0010000000474974513
0.0002341641520615667,1.0,0.0010000000474974513
0.00023252313258126378,1.0,0.0010000000474974513
0.0002308940456714481,1.0,0.0010000000474974513
0.0002292864373885095,1.0,0.0010000000474974513
0.0002277015009894967,1.0,0.0010000000474974513
0.00022613204782828689,1.0,0.0010000000474974513
0.00022458171588368714,1.0,0.0010000000474974513
0.0002230432874057442,1.0,0.0010000000474974513
0.0002215191489085555,1.0,0.0010000000474974513
0.0002200177259510383,1.0,0.0010000000474974513
0.00021853655925951898,1.0,0.0010000000474974513
0.00021706374536734074,1.0,0.0010000000474974513
0.0002156171976821497,1.0,0.0010000000474974513
0.00021417059178929776,1.0,0.0010000000474974513
0.00021275623294059187,1.0,0.0010000000474974513
0.0002113442460540682,1.0,0.0010000000474974513
0.0002099489647662267,1.0,0.0010000000474974513
0.00020856801711488515,1.0,0.0010000000474974513
0.00020720137399621308,1.0,0.0010000000474974513
0.00020585140737239271,1.0,0.0010000000474974513
0.00020450504962354898,1.0,0.0010000000474974513
0.00020318252791184932,1.0,0.0010000000474974513
0.00020187195332255214,1.0,0.0010000000474974513
0.0002005673450184986,1.0,0.0010000000474974513
0.00019927941320929676,1.0,0.0010000000474974513
0.0001980057859327644,1.0,0.0010000000474974513
