val_loss,val_accuracy,loss,accuracy,lr
1.3672840595245361,0.5,0.6878403127193451,0.5625,0.0010000000474974513
1.5018476247787476,0.5,0.6046835422515869,0.6875,0.0010000000474974513
2.0681259632110596,0.5,0.283930903673172,0.8500000238418579,0.0010000000474974513
2.54254412651062,0.5,0.17856240570545195,0.9750000238418579,0.0010000000474974513
2.7242367267608643,0.5,0.11888746544718742,0.9750000238418579,0.0010000000474974513
2.654710292816162,0.5,0.07239672690629959,1.0,0.0010000000474974513
2.457094669342041,0.5,0.05376097820699215,1.0,0.0010000000474974513
2.3227224349975586,0.5,0.02848009131848812,1.0,0.0010000000474974513
2.1689822673797607,0.5,0.01749856397509575,1.0,0.0010000000474974513
1.9223289489746094,0.5,0.010132601112127304,1.0,0.0010000000474974513
1.6072814464569092,0.5,0.009980169031769038,1.0,0.0010000000474974513
1.2956228256225586,0.5,0.008253423683345317,1.0,0.0010000000474974513
1.031336784362793,0.5,0.006150118634104728,1.0,0.0010000000474974513
0.795199990272522,0.5,0.005289342440664768,1.0,0.0010000000474974513
0.5988181233406067,0.5,0.0035098719410598276,1.0,0.0010000000474974513
0.4663507044315338,0.699999988079071,0.003559056855738163,1.0,0.0010000000474974513
0.40626946091651917,0.800000011920929,0.003090194333344698,1.0,0.0010000000474974513
0.3979647755622864,0.8999999761581421,0.002171719167381525,1.0,0.0010000000474974513
0.36604124307632446,0.8999999761581421,0.005677545443177223,1.0,0.0010000000474974513
0.33713799715042114,0.8999999761581421,0.002204258553683758,1.0,0.0010000000474974513
0.3468429148197174,0.8999999761581421,0.0024598023854196073,1.0,0.0010000000474974513
0.3759729266166687,0.800000011920929,0.0021600683219730856,1.0,0.0010000000474974513
0.40863990783691406,0.800000011920929,0.0015624788589775561,1.0,0.0010000000474974513
0.43462198972702026,0.800000011920929,0.0012357255909591913,1.0,0.0010000000474974513
0.4419156014919281,0.800000011920929,0.003089156560599804,1.0,0.0010000000474974513
0.4498528838157654,0.800000011920929,0.0009991651866585016,1.0,0.0010000000474974513
0.45304521918296814,0.800000011920929,0.0013910816982388497,1.0,0.0010000000474974513
0.4601684510707855,0.800000011920929,0.0008984409272670746,1.0,0.0010000000474974513
0.47435250878334045,0.800000011920929,0.000916338455863297,1.0,0.0010000000474974513
0.4952097535133362,0.800000011920929,0.0010903268586844206,1.0,0.0010000000474974513
0.5189778804779053,0.800000011920929,0.0009086571168154478,1.0,0.0010000000474974513
0.5414215326309204,0.800000011920929,0.0007226632558740675,1.0,0.0010000000474974513
0.5519353747367859,0.800000011920929,0.0012929573655128478,1.0,0.0010000000474974513
0.5598011016845703,0.800000011920929,0.0007101087365299463,1.0,0.0010000000474974513
0.5684348940849304,0.800000011920929,0.0005747515358962118,1.0,0.0010000000474974513
0.5760782957077026,0.800000011920929,0.000544333178550005,1.0,0.0010000000474974513
0.5799757242202759,0.800000011920929,0.0008316710591316223,1.0,0.0010000000474974513
